"squirrel_id","percent_return","observations","ALR","LRS","LBS","litter_id","litter_size","year","field_bdate","n1_date","tag_date","grid","locx","locy","ln","food","father_id","mother_byear","mother_bcert","maternal_grandma_id","mom_dates","mom_datee","dam_age","julian","mom_longevity.x","litter_fit","ARS","std_ls","std_ARS","mean_growthRate","yrf","std_growth","std_julian","std_litter_fit","average_latency","mast_encounter","mast_encounter1","mom_longevity.y","exp","scaled_lat","scaled_long"
19907,0,1,3,0,3,7747,3,2017,"3/23/17","3/30/17","4/17/17","AG","O.5",6.5,1,1,NA,2014,"Y",12788,"3/23/14","6/6/18",3,82,1536,0,0,0.133174275,0,2.094444444,2017,0.871480687,-2.030533981,0,420,0,"no",1536,1,0.941763647,0.176456256
19925,100,2,2,0,7,6188,4,2015,"3/27/15","4/1/15","4/21/15","AG","G.5",8.5,1,1,NA,2014,"Y",11738,"3/27/14","9/1/16",1,86,889,0,0,2.028370211,0,1.955,2015,0.306370759,0.018453201,0,281.5,0,"no",889,1,-0.230537552,-0.798587678
19926,50,2,5,3,5,7748,3,2017,"5/6/17","5/10/17","5/31/17","AG","G.5",6.5,1,1,NA,2014,"Y",11738,"3/27/14","9/25/19",3,126,2008,3,3,0.133174275,4.6875,1.773015873,2017,0.150535747,0.870228849,4.6875,352,0,"yes",2008,1,0.366193383,0.887771151
19962,0,1,2,0,3,7749,3,2017,"4/6/17","4/20/17","5/1/17","AG","G.0",13.5,1,1,NA,2014,"Y",11934,"4/10/14","4/8/18",3,96,1459,0,0,0.133174275,0,2.86969697,2017,2.610325442,-1.10756399,0,420,0,"no",1459,1,0.941763647,0.060415479
19970,0,1,2,0,3,7750,3,2017,"3/28/17","4/3/17",NA,"AG","M.0",0.5,1,1,NA,2014,"Y",13450,"4/11/14","9/30/18",3,87,1633,0,0,0.133174275,0,NA,2017,NA,-1.700901841,0,420,0,"no",1633,1,0.941763647,0.322637495
19983,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"yes",1915,0,NA,NA
19984,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"yes",1912,0,NA,NA
19988,50,2,3,0,8,6006,5,2014,"7/24/14","7/24/14","8/16/14","AG","K.0",21,2,1,NA,2013,"N",NA,"4/17/14","6/19/17",1,205,1159,0,0,1.338609892,0,1.272173913,2014,-0.838972766,1.267907742,0,210,1,"yes",1159,1,-0.835732755,-0.391691446
19989,50,2,3,2,3,7753,3,2017,"5/9/17","5/9/17","6/4/17","AG","V.0",3,1,1,NA,2014,"Y",12731,"4/17/14","7/10/17",3,129,1180,2,2,0.133174275,3.125,1.25,2017,-1.022557378,1.068008133,3.125,275,0,"no",1180,1,-0.285555298,-0.360043961
20005,100,2,3,0,4,7754,4,2017,"5/3/17","5/4/17","5/29/17","AG","S.5",4,1,1,NA,2014,"Y",11686,"4/16/14","6/8/17",3,123,1149,0,0,1.560041512,0,1.534,2017,-0.385562471,0.672449565,0,278,0,"no",1149,1,-0.260162492,-0.406761676
20014,100,2,2,2,9,6176,3,2015,"3/29/15","3/31/15",NA,"AG","M.0",13.5,1,1,NA,2014,"Y",12195,"4/19/14","5/24/17",1,88,1131,0,0,0.338061702,0,NA,2015,NA,0.189804352,0,340.5,0,"no",1131,1,0.268854294,-0.433888092
20044,33.33333333,2,3,0,5,6224,1,2015,"4/2/15","4/8/15","4/27/15","SU","H.0",17,1,0,NA,2013,"N",NA,"4/22/14","5/22/17",2,92,1126,0,0,-2.426077975,0,2.636842105,2015,1.914895295,0.824536195,0,377.6666667,0,"no",1126,0,0.583442943,-0.441423207
20046,33.33333333,2,5,14,13,8719,3,2018,"4/23/18",NA,"5/10/18","JO","F.0",3,1,19,NA,2014,"Y",11375,"4/23/14","3/11/20",4,113,2149,0,0,0.432292813,0,NA,2018,NA,-0.72779874,0,323.3333333,0,"yes",2149,0,0.123551017,1.100261405
