"","squirrel_id","grid_year","nest","n_pups","scaled_mom_age","scaled_mom_age_squared","scaled_density","year","predator","scaled_julian_date","ARS","m_return","m_return_numeric"
"108",12939,"AG_2017","1",3,1.98898678414097,3.95606842748743,0.557304854,"nonmast","low predator",-0.585396366,0,"y",1
"109",13567,"AG_2017","2",2,1.98898678414097,3.95606842748743,0.68671293,"nonmast","low predator",-0.521954031,1,"y",1
"110",19275,"AG_2017","1",3,0.988986784140969,0.978094859205496,1.592569464,"nonmast","low predator",0.175911664,0,"y",1
"111",20415,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.557304854,"nonmast","low predator",-0.395069359,1,"y",1
"112",13246,"AG_2017","2",3,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-1.188098557,2,"y",1
"113",20566,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,1.204345234,"nonmast","low predator",-0.585396366,1,"y",1
"114",20566,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.585396366,1,"y",1
"115",20863,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-1.219819725,2,"y",1
"116",12095,"AG_2017","1",1,3.98898678414097,15.9120155640513,1.074937158,"nonmast","low predator",-0.173021183,1,"y",1
"117",22059,"AG_2017","2",3,-1.01101321585903,1.02214772264162,1.333753311,"nonmast","low predator",-0.395069359,1,"y",1
"118",19311,"AG_2017","2",2,0.988986784140969,0.978094859205496,1.463161387,"nonmast","low predator",-0.236463519,2,"y",1
"119",19334,"AG_2017","2",3,0.988986784140969,0.978094859205496,1.074937158,"nonmast","low predator",-1.124656221,2,"y",1
"120",19334,"AG_2017","1",4,0.988986784140969,0.978094859205496,-1.125000137,"nonmast","low predator",-1.124656221,2,"y",1
"121",20138,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.395069359,1,"y",1
"122",19988,"AG_2017","1",3,0.988986784140969,0.978094859205496,0.816121006,"nonmast","low predator",-0.268184687,0,"y",1
"123",20387,"AG_2017","2",2,-0.0110132158590308,0.000121290923557608,1.074937158,"nonmast","low predator",-0.902608046,1,"y",1
"124",20387,"AG_2017","1",2,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.902608046,1,"y",1
"125",11737,"AG_2017","1",3,3.98898678414097,15.9120155640513,-1.125000137,"nonmast","low predator",-1.092935053,1,"y",1
"126",11737,"AG_2017","2",3,2.98898678414097,8.93404199576937,0.68671293,"nonmast","low predator",-1.092935053,1,"y",1
"127",20385,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,1.204345234,"nonmast","low predator",0.049026992,0,"y",1
"128",19926,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.68671293,"nonmast","low predator",-0.173021183,3,"y",1
"129",21153,"AG_2017","1",1,-0.0110132158590308,0.000121290923557608,1.074937158,"nonmast","low predator",0.588286847,0,"y",1
"130",21246,"AG_2017","1",2,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.648838702,2,"y",1
"131",22018,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-1.061213885,2,"y",1
"132",12605,"AG_2017","1",2,3.98898678414097,15.9120155640513,-1.125000137,"nonmast","low predator",-0.775723374,1,"y",1
"133",19570,"AG_2017","2",2,0.988986784140969,0.978094859205496,1.204345234,"nonmast","low predator",-0.395069359,0,"y",1
"134",21128,"AG_2017","1",2,-0.0110132158590308,0.000121290923557608,0.816121006,"nonmast","low predator",0.017305824,1,"y",1
"135",20014,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.219819725,2,"y",1
"136",20014,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.219819725,2,"y",1
"137",20474,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,1.074937158,"nonmast","low predator",-0.363348191,0,"y",1
"138",20474,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.363348191,0,"y",1
"139",20630,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.816121006,"nonmast","low predator",-0.648838702,1,"y",1
"140",20630,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.648838702,1,"y",1
"141",22519,"AG_2017","2",3,-1.01101321585903,1.02214772264162,0.427896778,"nonmast","low predator",-0.744002206,0,"y",1
"142",22519,"AG_2017","1",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-0.744002206,0,"y",1
"143",13140,"AG_2017","2",3,1.98898678414097,3.95606842748743,0.945529082,"nonmast","low predator",-0.236463519,1,"y",1
"144",13140,"AG_2017","1",3,1.98898678414097,3.95606842748743,0.945529082,"nonmast","low predator",-0.236463519,1,"y",1
"145",13579,"AG_2017","2",1,1.98898678414097,3.95606842748743,0.816121006,"nonmast","low predator",-0.363348191,0,"y",1
"146",13579,"AG_2017","1",1,1.98898678414097,3.95606842748743,0.816121006,"nonmast","low predator",-0.363348191,0,"y",1
"147",20967,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,0.039672549,"nonmast","low predator",-0.648838702,0,"y",1
"148",20967,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.648838702,0,"y",1
"149",22200,"AG_2017","1",2,-2.01101321585903,4.04417415435968,1.074937158,"nonmast","low predator",-0.046136512,0,"y",1
"150",20231,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,1.074937158,"nonmast","low predator",-0.299905855,0,"y",1
"151",20231,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,1.074937158,"nonmast","low predator",-0.299905855,0,"y",1
"152",13023,"AG_2017","1",4,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-0.966050382,3,"y",1
"153",20475,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,1.204345234,"nonmast","low predator",0.112469328,0,"y",1
"154",22087,"AG_2017","2",3,-2.01101321585903,4.04417415435968,0.298488701,"nonmast","low predator",-0.458511695,0,"y",1
"155",22087,"AG_2017","1",3,-2.01101321585903,4.04417415435968,-1.125000137,"nonmast","low predator",-0.458511695,0,"y",1
"156",22002,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-0.089735527,"nonmast","low predator",-0.775723374,0,"y",1
"157",13257,"AG_2017","2",4,1.98898678414097,3.95606842748743,-1.125000137,"nonmast","low predator",-1.75907958,1,"y",1
"158",21904,"AG_2017","2",3,-0.0110132158590308,0.000121290923557608,-0.089735527,"nonmast","low predator",-0.173021183,1,"y",1
"159",21904,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-0.089735527,"nonmast","low predator",-0.173021183,1,"y",1
"160",20163,"AG_2017","1",3,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-0.617117534,0,"y",1
"161",19321,"AG_2017","2",3,0.988986784140969,0.978094859205496,-1.125000137,"nonmast","low predator",-1.537031404,0,"y",1
"162",21354,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,-1.125000137,"nonmast","low predator",-1.188098557,0,"y",1
"163",20005,"AG_2017","2",4,-0.0110132158590308,0.000121290923557608,0.945529082,"nonmast","low predator",-0.268184687,0,"y",1
"164",20005,"AG_2017","1",4,-0.0110132158590308,0.000121290923557608,0.945529082,"nonmast","low predator",-0.268184687,0,"y",1
"165",21783,"AG_2017","2",3,-1.01101321585903,1.02214772264162,-1.125000137,"nonmast","low predator",-1.251540893,0,"y",1
